bankruptid;startdate
145445;2017-05-04
145455;2017-05-05
145544;2017-05-05
145568;2017-05-05
145600;2017-05-05
145606;2017-05-05
145607;2017-05-05
145666;2017-05-08
145692;2017-05-08
145693;2017-05-08
145723;2017-05-10
145841;2017-05-10
145850;2017-05-10
145885;2017-05-10
145997;2017-05-11
146032;2017-05-12
146035;2017-05-12
146066;2017-05-12
146080;2017-05-12
146095;2017-05-12
146098;2017-05-12
146199;2017-05-13
146286;2017-05-15
146287;2017-05-15
146329;2017-05-15
146349;2017-05-15
146361;2017-05-15
146409;2017-05-15
146440;2017-05-16
146492;2017-05-16
146597;2017-05-17
146644;2017-05-17
146661;2017-05-17
146665;2017-05-17
146723;2017-05-18
146749;2017-05-18
146771;2017-05-18
146836;2017-05-18
146837;2017-05-18
146860;2017-05-19
146876;2017-05-19
146889;2017-05-19
146896;2017-05-19
146904;2017-05-19
146914;2017-05-19
146916;2017-05-19
146948;2017-05-19
146996;2017-05-19
147050;2017-05-21
147110;2017-05-22
147130;2017-05-22
147147;2017-05-22
147156;2017-05-22
147170;2017-05-22
147204;2017-05-22
147338;2017-05-23
147389;2017-05-23
147401;2017-05-23
147479;2017-05-23
147483;2017-05-24
147515;2017-05-24
147529;2017-05-24
147560;2017-05-24
147583;2017-05-24
147593;2017-05-24
147707;2017-05-25
147725;2017-05-25
147728;2017-05-25
147775;2017-05-25
147830;2017-05-26
147834;2017-05-26
147838;2017-05-26
147870;2017-05-26
147916;2017-05-26
147927;2017-05-26
147934;2017-05-26
147966;2017-05-27
147993;2017-05-28
148011;2017-05-28
148068;2017-05-29
148104;2017-05-29
148130;2017-05-29
148137;2017-05-29
148254;2017-05-30
148337;2017-05-30
148363;2017-08-22
148387;2017-05-30
148491;2017-05-31
148513;2017-05-31
148544;2017-05-31
148555;2017-05-31
148560;2017-05-31
148618;2017-06-01
148637;2017-06-01
148645;2017-06-01
148678;2017-06-01
148686;2017-06-01
148696;2017-06-01
148725;2017-06-01
148882;2017-06-02
148900;2017-06-02
149077;2017-06-05
149083;2017-06-05
149136;2017-06-05
149185;2017-06-05
149210;2017-06-05
149231;2017-06-06
149233;2017-06-06
149245;2017-06-06
149303;2017-06-06
149560;2017-06-07
149561;2017-06-07
149565;2017-06-07
149573;2017-06-07
149585;2017-06-07
149601;2017-06-07
149611;2017-06-08
149763;2017-06-08
149782;2017-06-09
149803;2017-06-09
149811;2017-06-09
149817;2017-06-09
149884;2017-06-09
149943;2017-06-10
149951;2017-06-10
149979;2017-06-12
150075;2017-06-13
150088;2017-06-13
150112;2017-06-13
150142;2017-06-13
150175;2017-06-13
150198;2017-06-13
150217;2017-06-13
150233;2017-06-13
150265;2017-06-14
150305;2018-09-08
150379;2017-06-14
150407;2017-06-14
150506;2017-06-15
150510;2017-06-15
150521;2017-06-15
150649;2017-06-16
150727;2017-06-18
150730;2017-06-18
150803;2017-06-19
150845;2017-06-19
150852;2017-06-19
150855;2017-06-19
150863;2017-06-19
150903;2017-06-19
150907;2017-06-19
150930;2017-06-19
150953;2017-06-19
150956;2017-06-19
151007;2017-06-20
